source_id,source_name,module_id,module_url,grade,subject,subdomain,module_slug,has_data_xml,has_data_np_xml,page_count,js_asset_count,exercise_asset_count,html_asset_count,data_type,language_type,module_title_en,module_title_ne,discovered_at,last_seen_at,status,notes
EPAATH_grade1__english__basic_sounds_1,OLE Nepal E-Paath,grade1/english/basic_sounds_1,https://epaath.olenepal.org/activity/grade1/english/basic_sounds_1/,1,english,english_language,basic_sounds_1,1,1,7,1,1,7,bilingual_module,en-ne,Basic Sounds (I),Measurement,2026-05-19T04:37:48Z,2026-05-19T04:56:40Z,pair_failed,early_grade_learning_candidate
EPAATH_grade1__english__basic_sounds_2,OLE Nepal E-Paath,grade1/english/basic_sounds_2,https://epaath.olenepal.org/activity/grade1/english/basic_sounds_2/,1,english,english_language,basic_sounds_2,1,1,8,1,1,8,bilingual_module,en-ne,Basic Sounds (II),Measurement,2026-05-19T04:37:48Z,2026-05-19T04:56:40Z,pair_failed,early_grade_learning_candidate
EPAATH_grade1__english__basic_sounds_3,OLE Nepal E-Paath,grade1/english/basic_sounds_3,https://epaath.olenepal.org/activity/grade1/english/basic_sounds_3/,1,english,english_language,basic_sounds_3,1,1,8,1,1,8,bilingual_module,en-ne,Basic Sounds (III),Measurement,2026-05-19T04:37:49Z,2026-05-19T04:56:40Z,pair_failed,early_grade_learning_candidate
EPAATH_grade1__english__desc_colors_sizes,OLE Nepal E-Paath,grade1/english/desc_colors_sizes,https://epaath.olenepal.org/activity/grade1/english/desc_colors_sizes/,1,english,english_language,desc_colors_sizes,1,0,2,1,0,2,monolingual_module,en,Describing colours and sizes,,2026-05-19T04:37:49Z,2026-05-19T04:56:40Z,pair_failed,early_grade_learning_candidate
EPAATH_grade1__english__friends_and_festivals,OLE Nepal E-Paath,grade1/english/friends_and_festivals,https://epaath.olenepal.org/activity/grade1/english/friends_and_festivals/,1,english,english_language,friends_and_festivals,1,1,4,1,1,5,bilingual_module,en-ne,Friends and Festivals,हाम्रा चाडपर्वहरू,2026-05-19T04:37:49Z,2026-05-19T04:56:40Z,pair_failed,early_grade_learning_candidate
EPAATH_grade1__english__i_likee_to_play,OLE Nepal E-Paath,grade1/english/i_likee_to_play,https://epaath.olenepal.org/activity/grade1/english/i_likee_to_play/,1,english,english_language,i_likee_to_play,1,1,3,1,1,4,bilingual_module,en-ne,I like to play,कुराकानी र जानकारी,2026-05-19T04:37:49Z,2026-05-19T04:56:40Z,pair_failed,early_grade_learning_candidate
EPAATH_grade1__english__identifying_letters_i,OLE Nepal E-Paath,grade1/english/identifying_letters_i,https://epaath.olenepal.org/activity/grade1/english/identifying_letters_i/,1,english,english_language,identifying_letters_i,1,1,2,1,1,2,bilingual_module,en-ne,Identifying Letters (A to H),झूटो नबोल,2026-05-19T04:37:49Z,2026-05-19T04:56:40Z,pair_failed,early_grade_learning_candidate
EPAATH_grade1__english__identifying_letters_sec,OLE Nepal E-Paath,grade1/english/identifying_letters_sec,https://epaath.olenepal.org/activity/grade1/english/identifying_letters_sec/,1,english,english_language,identifying_letters_sec,1,1,2,1,1,2,bilingual_module,en-ne,Identifying Letters (I to P),झूटो नबोल,2026-05-19T04:37:49Z,2026-05-19T04:56:40Z,pair_failed,early_grade_learning_candidate
EPAATH_grade1__english__identifying_letters_third,OLE Nepal E-Paath,grade1/english/identifying_letters_third,https://epaath.olenepal.org/activity/grade1/english/identifying_letters_third/,1,english,english_language,identifying_letters_third,1,1,2,1,1,2,bilingual_module,en-ne,Identifying Letters (Q to Z),झूटो नबोल,2026-05-19T04:37:49Z,2026-05-19T04:56:40Z,pair_failed,early_grade_learning_candidate
EPAATH_grade1__english__lines_and_curves,OLE Nepal E-Paath,grade1/english/lines_and_curves,https://epaath.olenepal.org/activity/grade1/english/lines_and_curves/,1,english,english_language,lines_and_curves,1,1,3,1,1,3,bilingual_module,en-ne,Lines And Curves,१ देखि ५ सम्मका सङ्ख्याहरू,2026-05-19T04:37:49Z,2026-05-19T04:56:40Z,pair_failed,early_grade_learning_candidate
EPAATH_grade1__english__making_words,OLE Nepal E-Paath,grade1/english/making_words,https://epaath.olenepal.org/activity/grade1/english/making_words/,1,english,english_language,making_words,1,0,5,1,0,5,monolingual_module,en,Making Words,,2026-05-19T04:37:49Z,2026-05-19T04:56:40Z,pair_failed,early_grade_learning_candidate
