source_id,module_id,grade,subject,subdomain,en_record_count,ne_record_count,overlap_key_count,coverage_min_ratio,coverage_max_ratio,ne_devanagari_ratio,content_pair_count,content_screen_pair_count,identical_pair_count,numeric_pair_count,formula_pair_count,latin_only_ne_pair_count,quality_score,risk_level,recommended_action,quality_flags
EPAATH_grade1__english__basic_sounds_1,grade1/english/basic_sounds_1,1,english,english_language,78,85,6,0.077,0.071,0.188,1,0,1,0,2,6,0,high,manual_block_or_recheck,low_overlap_min;low_overlap_max;low_nepali_script;few_content_pairs;no_content_screen_pairs;many_latin_only_ne_pairs
EPAATH_grade1__english__basic_sounds_2,grade1/english/basic_sounds_2,1,english,english_language,90,85,6,0.071,0.067,0.188,1,0,1,0,2,6,0,high,manual_block_or_recheck,low_overlap_min;low_overlap_max;low_nepali_script;few_content_pairs;no_content_screen_pairs;many_latin_only_ne_pairs
EPAATH_grade1__english__basic_sounds_3,grade1/english/basic_sounds_3,1,english,english_language,70,85,6,0.086,0.071,0.188,1,0,1,0,2,6,0,high,manual_block_or_recheck,low_overlap_min;low_overlap_max;low_nepali_script;few_content_pairs;no_content_screen_pairs;many_latin_only_ne_pairs
EPAATH_grade1__english__desc_colors_sizes,grade1/english/desc_colors_sizes,1,english,english_language,45,0,0,0.000,0.000,0.000,0,0,0,0,0,0,0,high,manual_block_or_recheck,no_nepali_records;low_overlap_min;low_overlap_max;low_nepali_script;few_content_pairs;no_content_screen_pairs
EPAATH_grade1__english__friends_and_festivals,grade1/english/friends_and_festivals,1,english,english_language,70,98,19,0.271,0.194,0.990,17,6,0,0,2,0,65,medium,manual_review_required,low_overlap_min;low_overlap_max
EPAATH_grade1__english__i_likee_to_play,grade1/english/i_likee_to_play,1,english,english_language,133,91,13,0.143,0.100,0.989,12,7,1,0,1,1,35,high,manual_block_or_recheck,low_overlap_min;low_overlap_max
EPAATH_grade1__english__identifying_letters_i,grade1/english/identifying_letters_i,1,english,english_language,49,69,6,0.122,0.087,0.986,5,2,0,0,1,1,35,high,manual_block_or_recheck,low_overlap_min;low_overlap_max
EPAATH_grade1__english__identifying_letters_sec,grade1/english/identifying_letters_sec,1,english,english_language,58,69,14,0.241,0.203,0.986,13,10,0,0,1,1,60,medium,manual_review_required,low_overlap_min
EPAATH_grade1__english__identifying_letters_third,grade1/english/identifying_letters_third,1,english,english_language,64,69,14,0.219,0.203,0.986,13,10,0,0,1,1,60,medium,manual_review_required,low_overlap_min
EPAATH_grade1__english__lines_and_curves,grade1/english/lines_and_curves,1,english,english_language,20,33,8,0.400,0.242,1.000,6,1,0,0,2,0,60,medium,manual_review_required,
EPAATH_grade1__english__making_words,grade1/english/making_words,1,english,english_language,19,0,0,0.000,0.000,0.000,0,0,0,0,0,0,0,high,manual_block_or_recheck,no_nepali_records;low_overlap_min;low_overlap_max;low_nepali_script;few_content_pairs;no_content_screen_pairs
EPAATH_grade1__english__match_sounds_with_words_new,grade1/english/match_sounds_with_words_new,1,english,english_language,40,0,0,0.000,0.000,0.000,0,0,0,0,0,0,0,high,manual_block_or_recheck,no_nepali_records;low_overlap_min;low_overlap_max;low_nepali_script;few_content_pairs;no_content_screen_pairs
EPAATH_grade1__english__numbers,grade1/english/numbers,1,english,english_language,33,5,5,1.000,0.152,0.200,1,1,4,0,2,4,15,high,manual_block_or_recheck,low_overlap_max;low_nepali_script;few_content_pairs;many_identical_pairs;many_latin_only_ne_pairs
EPAATH_grade1__english__preposition,grade1/english/preposition,1,english,english_language,0,0,0,0.000,0.000,0.000,0,0,0,0,0,0,0,high,manual_block_or_recheck,no_english_records;no_nepali_records;low_overlap_min;low_overlap_max;low_nepali_script;few_content_pairs;no_content_screen_pairs
EPAATH_grade1__english__recognizing_and_matching_shapes,grade1/english/recognizing_and_matching_shapes,1,english,english_language,39,5,4,0.800,0.103,0.200,0,0,4,0,2,4,0,high,manual_block_or_recheck,low_overlap_max;low_nepali_script;few_content_pairs;no_content_screen_pairs;many_identical_pairs;many_latin_only_ne_pairs
EPAATH_grade1__english__short_vowels,grade1/english/short_vowels,1,english,english_language,84,85,7,0.083,0.082,0.188,2,0,1,0,2,7,0,high,manual_block_or_recheck,low_overlap_min;low_overlap_max;low_nepali_script;few_content_pairs;no_content_screen_pairs;many_latin_only_ne_pairs
EPAATH_grade1__english__simple_greetings,grade1/english/simple_greetings,1,english,english_language,110,85,7,0.082,0.064,0.188,2,0,1,0,2,7,0,high,manual_block_or_recheck,low_overlap_min;low_overlap_max;low_nepali_script;few_content_pairs;no_content_screen_pairs;many_latin_only_ne_pairs
EPAATH_grade1__english__wave_your_hands,grade1/english/wave_your_hands,1,english,english_language,38,0,0,0.000,0.000,0.000,0,0,0,0,0,0,0,high,manual_block_or_recheck,no_nepali_records;low_overlap_min;low_overlap_max;low_nepali_script;few_content_pairs;no_content_screen_pairs
EPAATH_grade1__english__where_is_my_friend_new,grade1/english/where_is_my_friend_new,1,english,english_language,76,0,0,0.000,0.000,0.000,0,0,0,0,0,0,0,high,manual_block_or_recheck,no_nepali_records;low_overlap_min;low_overlap_max;low_nepali_script;few_content_pairs;no_content_screen_pairs
EPAATH_grade1__math__adding_three_numbers,grade1/math/adding_three_numbers,1,math,mathematics,43,43,42,0.977,0.977,1.000,30,20,9,9,3,0,100,low,review_candidates,
EPAATH_grade1__math__adding_upto_hundred,grade1/math/adding_upto_hundred,1,math,mathematics,102,102,102,1.000,1.000,1.000,41,16,50,50,11,0,90,low,review_candidates,many_identical_pairs
EPAATH_grade5__math__fractions,grade5/math/fractions,5,math,mathematics,51,51,51,1.000,1.000,0.647,18,12,18,12,29,6,90,low,review_candidates,many_identical_pairs
